trial_count|1|2
block_count|-1|-1
subjectID|PR272584806|PR272584806
prolificID||
experiment_version| | 
experiment_version_date|2020/02/10|2020/02/10
experiment_condition||
trialType_order|testing|testing
scoreRule_order||
attempts|549|549
CUREC_ID|R67369/RE001|R67369/RE001
CUREC_version|5.0|5.0
CUREC_date|2018/11/12|2018/11/12
PIS_version|1.0|1.0
PIS_date|2020/01/01|2020/01/01
PIS_acknowledged||
consent_version|1.0|1.0
consent_date|2020/01/01|2020/01/01
consented||
age||
gender||
handedness||
demographicsRTs||
demographics_duration|0|0
dots_accuracy|100|100
dots_staircase||
dots_majoritySide|right|left
dots_confidences|67|69
initial_choices|false|correct
partner_confidences|50|50
dots_pairs|[200,300]|[300,200]
dots_isCorrect|true|true
dots_jointCorrect||
dots_RTs|283|406
dots_waitTimes|4094|3407
technical_issues||
feedback_strategy||
feedback_technical||
feedback_comments||
debriefing||
feedback_ratings||
